Amazon Unique id,Amazon Product name,Flipkart Unique id,Flipkart Product name,Similarity
97b8a04ee0c6f158ed18a99cfc2bd6ed,NOOR EMBROIDERED WOMEN'S STRAIGHT KURTA,ee383a337af67ae8ad4f42714d67ddaf,Vishudh Printed Women's Straight Kurta,1.0000000000000004
0305111c779fe663bd94122bef0f0002,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,154968876a45c0e99d35b5d57290d0b3,MASARA Solid Women's Straight Kurta,1.0000000000000002
80993e88a0224c71617e37dcd1e17745,LIBAS PRINTED WOMEN'S A-LINE KURTA,0305111c779fe663bd94122bef0f0002,Vishudh Printed Women's Straight Kurta,1.0000000000000002
c497e4250ea07a8a87efa8fda01ae6e0,HRS CLUB BOY THIGH PADS,7a7e587d3344885bdb8c77f8b7679483,Vermello Men Casual Brown Genuine Leather Belt,1.0000000000000002
8beb2187f33659971647812d8f95af73,LIZA WOMEN WEDGES,7db2acfee8298ef8c687d688147c69be,Ligans NY Men Formal Black Genuine Leather Belt,1.0000000000000002
08cb8617f5aacbe98024867f509f6bbc,HRS ULTIMATE BOY ELBOW PADS,55b85ea15a1536d46b7190ad6fff8ce7,Elegance Polyester Multicolor Abstract Eyelet Door Curtain,1.0000000000000002
7b72c92c2f6c40268628ec5f14c6d590,SATHIYAS COTTON BATH TOWEL,8beb2187f33659971647812d8f95af73,Liza Women Wedges,1.0000000000000002
1b2c6d2ef16b8b391aa0221ebd673ce3,CASEDEAL Microsoft Nokia lumia x2 Back Panel,64d5d4a258243731dc7bbb1eef49ad74,Eurospa Cotton Terry Face Towel Set,1.0000000000000002
b129a98c7c0e905ca82fd73db63d9bd0,Mario Gotze Women's Printed Casual Orange Shirt,d4684dcdc759dd9cdf41504698d737d8,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,1.0000000000000002
6325b6870c54cd47be6ebfbffa620ec7,Jaipur Print Cotton Floral King sized Double Bedsheet,1b2c6d2ef16b8b391aa0221ebd673ce3,CASEDEAL Microsoft Nokia lumia x2 Back Panel,1.0000000000000002
38cc9b40b62bef29b49e3c6b501b9dba,Babeezworld Dungaree Baby Boy's  Combo,b51acbb3e292152a131cde140e0c376a,Shilpi NHSCN003 Coin Bank,1.0000000000000002
a99bd685c5430bdf45a1dd01aabc3200,Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,c3f924e0e4c823c62d58de0c17ba86d6,Jaipur Print Cotton Floral King sized Double Bedsheet,1.0000000000000002
e98fed4f44ec6c5f185a80f8cdd898bb,"Proence Weight Gainers, Mass Gainers",38cc9b40b62bef29b49e3c6b501b9dba,Babeezworld Dungaree Baby Boy's  Combo,1.0000000000000002
05324708277dbf2f3e8b55a660e91988,Discountgod Men's Checkered Casual Shirt,a99bd685c5430bdf45a1dd01aabc3200,Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,1.0000000000000002
45df3406c4f1301e479c58716c912841,TEN TEN Women's Black Knee Length Boots Boots,9b9dc9b2609d1ee4f5196221eca22eb7,Silver Streak Men's Printed Casual Denim Shirt,1.0000000000000002
2b480f41409d22cb3ba9f71a0242cf1a,Carlton Boots,45df3406c4f1301e479c58716c912841,TEN TEN Women's Black Knee Length Boots Boots,1.0000000000000002
893aa5ed55f7cff2eccea7758d7a86bd,Maserati Time R8851116001 Analog Watch  - For Boys,7698cd2c78a1fd6105ef617445da52f9,"Aries Gold G 729 S-BK Analog Watch  - For Men, Boys",1.0000000000000002
41aa2d73a19f0c3438b3c77134696830,Quechua Arpenaz Novadry Boots,f355cc1ccb08bd0d283ed979b7ee7515,"Camerii WM64 Elegance Analog Watch  - For Men, Boys",1.0000000000000002
a66b8f58ac663190586f5c1a9745e56f,Catwalk Boots,0c7a6176e932cc20399a890433186ab5,Rochees RW38 Analog Watch  - For Boys,1.0000000000000002
588d8f7647d36f6e1c162984f2cd9676,Rialto Boots,cf59d4e4b6583f4c4bc32c385d7952d1,Magnum Footwear Lifestyle,1.0000000000000002
72c4f4745fbaeb32f8c82a6ce013309d,Kielz Ladies Boots,dd0e3470a7e6ed76fd69c2da27721041,T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,1.0000000000000002
41384da51732c0b4df3de8f395714fbb,"Alfajr WY16B Youth Digital Watch  - For Men, Boys",588d8f7647d36f6e1c162984f2cd9676,Rialto Boots,1.0000000000000004
dff9da1046a392d71cca8bfb3e1f647e,La Briza Ashley Boots,72c4f4745fbaeb32f8c82a6ce013309d,Kielz Ladies Boots,1.0000000000000002
710ed5f2393a4b9e8823aa0029f71f93,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",41384da51732c0b4df3de8f395714fbb,"Alfajr WY16B Youth Digital Watch  - For Men, Boys",1.0000000000000002
7713ac1bbb7b5c03019314a46076a6f2,Crocs Boots,e18aace92fadededb348d8488931a1e2,Salt N Pepper 14-664 Denny Black Boots Boots,1.0000000000000002
329c5f4d7aced63e1ce3e88f41d5e7e6,"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men",16655211772e017f8e207c24b8340214,"Costa Swiss CS-2001 Analog Watch  - For Boys, Men",1.0000000000000002
920154acbe49d3202ed7d2ed2df1ea13,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",130a50a99e78426459f0d909b0bc0f07,Lyc White Casual Boots,1.0000000000000004
